"plantbarcode","genotype","Subpop.","Exp","treatment","image_id","Average.Root.Width..Diameter.","Network.Bushiness","Network.Depth","Ellipse.Axes.Ratio","Network.Length.Distribution","Major.Ellipse.Axis","Maximum.Number.of.Roots","Network.Width","Median.Number.of.Roots","Minor.Ellipse.Axis","Network.Area","Network.Convex.Area","Network.Perimeter","Network.Solidity","Specific.Root.Length","Network.Surface.Area","Network.Length","Network.Volume","Network.Width.to.Depth.Ratio","Average.Root.Width..Diameter._Excised","Network.Bushiness_Excised","Network.Depth_Excised","Ellipse.Axes.Ratio_Excised","Network.Length.Distribution_Excised","Major.Ellipse.Axis_Excised","Maximum.Number.of.Roots_Excised","Network.Width_Excised","Median.Number.of.Roots_Excised","Minor.Ellipse.Axis_Excised","Network.Area_Excised","Network.Convex.Area_Excised","Network.Perimeter_Excised","Network.Solidity_Excised","Specific.Root.Length_Excised","Network.Surface.Area_Excised","Network.Length_Excised","Network.Volume_Excised","Network.Width.to.Depth.Ratio_Excised"
"Ea001AA019604","Ky21","nss","LT1b",100,646,0.183793645,1.571428571,41.69863014,0.331622413,0.174813862,31.63784632,22,12.54794521,14,10.49181895,166.4554325,365.5565772,2073.753425,0.455347935,22.38112238,924.804692,1601.657534,71.56287817,0.300919842,0.097690571,1.5,19.68493151,0.146304279,0.279533679,19.02035629,6,3.02739726,4,2.782759519,10.60011259,56.97006943,267.4931507,0.18606459,100.3839056,41.49089541,135.1917808,1.346747569,0.153792624
"Ea001AA019605","Ky21","nss","LT1b",100,797,0.23877119,1.857142857,40.17808219,0.208175435,0.112938313,35.86592225,13,9.561643836,7,7.466403948,124.8669544,368.3561644,1250.547945,0.338984294,11.0421223,751.7556436,1002.178082,90.75955279,0.237981589,0.09642778,1.6,31.71232877,0.161266336,0.154601098,28.2699692,8,4.821917808,5,4.558994345,21.53706136,142.1978795,560.1643836,0.151458386,94.34903581,90.80634446,299.7534247,3.177069295,0.152051836
"Ea001AA019606","Ky21","nss","LT1b",100,911,0.332408131,1.615384615,27.80821918,0.47406473,0.210613279,24.44488991,21,13.64383562,13,11.58846012,138.5434415,295.5914806,1372.178082,0.468699035,2.986199439,1079.567947,1033.780822,346.1861282,0.490640394,0.079304996,2.5,24.1369863,0.125385844,0.12405866,20.3235977,5,2.863013699,2,2.548291451,7.44642522,58.9506474,230.4657534,0.126316259,162.890032,29.0372206,116.5479452,0.715500782,0.11861521
"Ea001AA019607","Ky21","nss","LT1b",100,943,0.219417616,1.666666667,32.36986301,0.521434034,0.159237623,25.70578683,25,17.94520548,15,13.40387212,154.1702008,388.7343779,1869.863014,0.396595232,10.40185718,963.1510852,1397.246575,134.3266448,0.554380025,0.08277152,2,10.54794521,0.375923466,0.212829227,10.48478204,4,2.123287671,2,3.94147561,2.701444924,28.82398199,80.12328767,0.093722128,152.4734119,10.16983846,39.10958904,0.256501042,0.201298701
"Ea001AA019608","Ky21","nss","LT1b",100,1120,0.258518027,1.333333333,36.84931507,0.179437468,0.304509932,34.30359941,12,6.602739726,9,6.155351019,108.0883843,231.7708763,1057.780822,0.466358785,8.317770268,688.9884044,848.3424658,101.9915721,0.179182156,0.133045521,1.6,23.64383562,0.225643884,0.308194344,21.98857205,8,5.095890411,5,4.96158681,24.92287484,129.3523175,466.2739726,0.192674359,43.51943783,113.6204457,271.8356164,6.246303491,0.215527231
"Ea001AB019609","Ky21","nss","LT1b",75,22,0.144107466,2.5,43.45205479,0.212139189,0.208943823,33.6987937,15,6.98630137,6,7.14883476,65.11915932,255.5904485,1171.671233,0.254779315,30.15223038,323.9168356,715.4794521,23.72890639,0.160781841,0.131331916,2.666666667,29.63013699,0.205195647,0.078684736,24.00716012,8,5.273972603,3,4.926164756,24.42278101,159.1204729,457.2054795,0.153486101,46.97450586,116.0455656,281.260274,5.987508944,0.177993528
"Ea001AB019610","Ky21","nss","LT1b",75,222,0.163447722,1.466666667,37.78082192,0.291084897,0.227169866,33.46511967,22,11.65753425,15,9.741190901,135.6984425,346.6594108,1994.493151,0.391446008,26.69705262,709.4971964,1381.726027,51.75575173,0.308556925,0.101008451,3.5,24.80821918,0.287762495,0.099663583,21.93415573,7,7.315068493,2,6.31182737,11.20247701,124.8609495,270.109589,0.089719621,93.73755622,45.46910543,143.2876712,1.528604724,0.294864716
"Ea001AB019611","Ky21","nss","LT1b",75,249,0.213106291,1.727272727,36.80821918,0.274795771,0.152578119,31.72208232,19,11.09589041,11,8.717094065,148.1827735,314.2699381,1595.109589,0.471514312,15.3672295,872.083621,1302.60274,84.76496952,0.301451433,0.081391292,1,7.616438356,0.333868091,0.388971684,9.180469321,1,0.465753425,1,3.065065765,0.924376056,14.21251642,28.61643836,0.065039577,182.6816262,3.26453152,12.76712329,0.069887287,0.061151079
"Ea001AB019612","Ky21","nss","LT1b",75,445,0.283512197,1.666666667,36.52054795,0.190787074,0.308432955,32.88615189,10,7.109589041,6,6.274252699,85.77481704,217.2376619,792.7534247,0.394843216,6.849919357,542.1799983,608.7260274,88.86615969,0.194673668,0.098118366,1.333333333,14.1369863,0.131998165,0.5390625,16.42308395,4,3.602739726,3,2.167816947,5.191968474,46.17301558,130.3972603,0.112445947,102.1041653,20.78351171,67.42465753,0.660351685,0.254844961
"Ea001AB019613","Ky21","nss","LT1b",75,521,0.229040195,1.444444444,38.87671233,0.202480937,0.218207626,35.18334162,13,9.684931507,9,7.123955971,123.4180897,317.4104898,1271.041096,0.388828012,12.5122836,744.1931501,1034.246575,82.65849852,0.249119098,0.109501883,1.666666667,17.20547945,0.149915052,0.429582712,20.8671839,5,3.054794521,3,3.128304954,8.812535185,56.41977857,197.1780822,0.156195849,77.3898322,36.16349494,105.1232877,1.358360455,0.177547771
"Ea001AC019624","Ky21","nss","LT1b",50,632,0.172133127,1.571428571,26.43835616,0.22804869,0.38331129,25.46725936,11,9.739726027,7,5.807775144,46.86094952,202.2763183,732.2465753,0.231667997,18.69314557,255.6815248,472.8082192,25.29313312,0.368393782,0.094839756,3,19.49315068,0.117497276,0.210207613,22.36777232,3,2.410958904,1,2.628152317,4.511165322,59.33730531,115.4246575,0.076025787,118.4983004,17.12996248,57.49315068,0.485181226,0.123682361
"Ea001AC019625","Ky21","nss","LT1b",50,784,0.149619937,1.666666667,28.49315068,0.271014638,0.228504809,27.8599299,15,9.465753425,9,7.550448818,60.89547758,223.3130043,1081.232877,0.272691139,24.5481023,325.683161,692.8767123,28.2252658,0.332211539,0.096780952,2.5,26.60273973,0.180559836,0.162200747,24.69435085,5,3.219178082,2,4.458807944,10.92681554,105.9085194,280.8082192,0.103172206,101.8713148,44.07838741,144.9726027,1.423095432,0.121009269
"Ea001AC019626","Ky21","nss","LT1b",50,872,0.141011908,1.666666667,36.98630137,0.169248238,0.282879986,34.25007941,15,7.205479452,9,5.7967656,69.73278289,259.9506474,1218.315068,0.26825393,37.7576924,343.605681,775.630137,20.54230775,0.194814815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea001AC019627","Ky21","nss","LT1b",50,918,0.172461263,1.714285714,34.54794521,0.193137806,0.308761857,29.1560903,12,6.01369863,7,5.63114332,63.35466316,195.8617001,909.739726,0.323466319,22.69895027,345.1136907,636.9726027,28.06176476,0.1740682,0.103056197,2.5,30.17808219,0.116275613,0.168860645,28.68082254,5,2.575342466,2,3.334880227,11.15349972,114.8875023,272.2739726,0.097081924,80.15752847,45.68128882,141.0958904,1.760232546,0.085338175
"Ea001AC019628","Ky21","nss","LT1b",50,1126,0.2240144,1.75,38.53424658,0.099100135,0.380797753,40.53308682,7,3.876712329,4,4.016834357,52.42165509,192.2223682,613.1643836,0.272713606,12.17537444,303.3599812,431.0547945,35.40382242,0.100604337,0.137989211,2.5,24.68493151,0.089304588,0.23084602,20.97079443,5,2.616438356,2,1.872788164,13.14543066,59.93038093,227.2739726,0.219345021,43.8240981,58.5767411,135.1232877,3.083310177,0.105993341
"Ea001AD019629","Ky21","nss","LT1b",25,107,0.119813145,1.428571429,32.23287671,0.180013892,0.589663951,34.46988614,10,7.712328767,7,6.205058373,36.54494277,188.9434228,748.369863,0.193417385,57.83590097,160.9823598,427.6849315,7.394800191,0.239269018,0.083632835,1,10.04109589,0.300039046,0.222511386,10.98179373,2,2.178082192,2,3.294966918,1.904860199,20.19365735,57.04109589,0.094329629,160.5287176,6.762863369,25.73972603,0.160343435,0.21691678
"Ea001AD019630","Ky21","nss","LT1b",25,156,0.148973981,1.75,33.75342466,0.09444972,0.386449587,34.6685062,7,3.589041096,4,3.274430712,30.81666354,150.3848752,492.0958904,0.204918636,35.79805516,138.6736525,296.3013699,8.277024227,0.106331169,0.096725256,1,20.63013699,0.123627774,0.615681234,25.2309653,1,1.150684932,1,3.119248077,2.920810659,57.9224057,74.78082192,0.050426266,124.289476,10.4232037,34.30136986,0.27597968,0.055776892
"Ea001AD019631","Ky21","nss","LT1b",25,301,0.151434732,1.6,33.90410959,0.156616634,0.423441287,32.91225186,8,6.835616438,5,5.154606095,34.46312629,164.0986114,568.2739726,0.210014734,31.76652442,168.3685498,353.9041096,11.14078786,0.201616162,0.093417792,4,23.65753425,0.185029146,0.342465753,22.11919475,4,2.616438356,1,4.092695716,6.163257647,89.3097204,159.4383562,0.069009931,116.7643214,23.24527561,79.20547945,0.678336315,0.11059641
"Ea001AD019632","Ky21","nss","LT1b",25,430,0.12929885,1.333333333,35.08219178,0.134481407,0.352216386,30.69123087,8,4.287671233,6,4.127399904,33.62863577,156.2443235,640.4383562,0.215231088,46.59600971,153.2781384,377.3424658,8.09817124,0.122217884,0.124981717,2,28.42465753,0.108731405,0.21070632,25.68828709,4,2.479452055,2,2.793123557,9.541377369,69.62657159,195.9178082,0.137036438,48.27133995,43.79298985,111.5342466,2.310568687,0.087228916
"Ea001AD019633","Ky21","nss","LT1b",25,488,0.129647115,1.666666667,46.50684932,0.153192225,0.473938779,45.95279278,10,8.123287671,6,7.039610553,54.22949897,318.4561831,1032.369863,0.17028873,45.41550636,243.1348405,596.9452055,13.14408345,0.17466863,0.09126287,1,20.16438356,0.132001017,0.562592047,24.50014778,1,0.383561644,1,3.234044418,2.34828298,44.00759992,62.94520548,0.053360851,143.8703433,8.334249824,29.06849315,0.202046457,0.019021739
"Ea002AA019644","Mo18W","mixed","LT1b",100,625,0.246834588,1.363636364,30.12328767,0.285617236,0.308073721,30.35018419,15,10.10958904,11,8.668535716,122.4118972,266.8671421,1247.150685,0.458699772,8.969633473,742.2791816,957.2191781,106.7177584,0.335607094,0.115051215,3,24.98630137,0.166098505,0.099969082,20.58236851,6,4.506849315,2,3.418700638,12.5246763,101.262432,263.4794521,0.12368532,70.63751653,52.84014949,146.1917808,2.069605332,0.180372807
"Ea002AA019645","Mo18W","mixed","LT1b",100,700,0.249662331,1.5,38.09589041,0.1960809,0.266720081,33.73922179,12,7.630136986,8,6.615616959,106.2431976,260.0662413,1076.767123,0.408523602,9.186657035,645.2732601,822.6986301,89.55364579,0.200287666,0.099416939,2,34.28767123,0.168679837,0.152892562,31.71269613,4,2.410958904,2,5.349292426,10.70726215,168.2787577,265.2465753,0.063628127,102.5809596,40.58546428,129.9452055,1.266757555,0.070315621
"Ea002AA019646","Mo18W","mixed","LT1b",100,835,0.246222341,1.5,31.95890411,0.244269992,0.223708754,29.71815907,12,8.780821918,8,7.259254487,100.6378307,208.6832426,973.2465753,0.482251615,11.08853568,604.7841332,781.8493151,70.5096992,0.274753536,0.12950651,3,17.80821918,0.213518973,0.208133971,22.1839415,3,3.767123288,1,4.736692414,5.586976919,72.94173391,105.9178082,0.076595066,54.07686244,22.516453,55.34246575,1.023403786,0.211538462
"Ea002AA019647","Mo18W","mixed","LT1b",100,937,0.257319918,1.636363636,34.76712329,0.327155444,0.1812876,29.25095825,18,11.53424658,11,9.569610238,142.8844061,307.7989304,1405.520548,0.464213459,7.068367834,873.8632335,1080.986301,152.9329439,0.331757289,0.156097276,2,18.95890411,0.165539987,0.462028678,21.48243468,2,0.821917808,1,3.55620195,4.974666917,45.61118409,74.16438356,0.109066823,43.81658918,18.49390189,37.71232877,0.860686089,0.043352601
"Ea002AA019648","Mo18W","mixed","LT1b",100,1049,0.241221631,1.636363636,34.93150685,0.301619545,0.133143478,31.11605615,18,11.5890411,11,9.385210686,134.47082,293.0668043,1409.013699,0.458840162,8.744365996,834.2561217,1100.863014,125.8939772,0.331764706,0.176693671,1,5.273972603,0.263695183,0.457627119,6.811917962,1,0.191780822,1,1.796269955,1.261024582,6.991086508,16.7260274,0.180376052,39.31608119,4.57767017,8.246575342,0.209750695,0.036363636
"Ea002AB019649","Mo18W","mixed","LT1b",75,110,0.194464002,1.416666667,33.82191781,0.271818243,0.27220606,30.26055821,17,9.849315068,12,8.225371757,113.2188028,313.442203,1406.465753,0.3612111,18.13170146,625.6809774,1024.150685,56.48398124,0.291211017,0.121429173,1.5,18.79452055,0.224280555,0.35982009,22.10559537,3,2.589041096,2,4.957855197,7.319009195,77.54597485,146.6986301,0.094382838,65.14091986,28.4386244,74.54794521,1.144410386,0.137755102
"Ea002AB019650","Mo18W","mixed","LT1b",75,189,0.157002574,1.75,59.24657534,0.068685627,0.624475105,67.58595197,7,5.575342466,4,4.642183473,59.76412085,361.892569,936.3150685,0.165143266,30.37007707,292.7537235,593.5342466,19.54338954,0.094104046,0.110649934,3,35.68493151,0.18289217,0.147601168,28.39355591,6,4.136986301,2,5.192959048,15.65227998,175.9984988,351.9315068,0.088934168,73.42375222,65.49485587,188.4109589,2.566076415,0.115930902
"Ea002AB019651","Mo18W","mixed","LT1b",75,328,0.2609507,1.375,31.52054795,0.252748029,0.25467703,26.16295956,11,8.232876712,8,6.612636449,84.30699944,220.7108275,845.6575342,0.381979445,8.670086738,525.3800129,640.8630137,73.91656313,0.261190787,0.104906979,2,31.08219178,0.169569749,0.135441527,32.09400509,4,6.835616438,2,5.442172402,10.99624695,187.6725464,261.109589,0.058592731,87.04162371,42.95761733,130.3424658,1.49747282,0.21992067
"Ea002AB019652","Mo18W","mixed","LT1b",75,389,0.243337984,1.666666667,37.82191781,0.151217631,0.226772766,35.36920331,10,5.821917808,6,5.348447142,75.39444549,227.6734847,874.4246575,0.33115163,8.327981143,473.0386461,618.7808219,74.30141967,0.153929736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea002AB019653","Mo18W","mixed","LT1b",75,482,0.154936216,2.25,38.89041096,0.258344292,0.146114836,32.22350665,18,11.17808219,8,8.324759002,85.83749296,324.6145618,1363.438356,0.264428966,28.86804711,449.0602976,922.5753425,31.95835655,0.28742515,0.118509701,5,29.71232877,0.143086842,0.118981624,28.38580553,5,2.876712329,1,4.061635269,12.7943329,122.7801651,267.7671233,0.10420521,61.54847127,55.58627464,149.3013699,2.425752692,0.096818811
"Ea002AC019664","Mo18W","mixed","LT1b",50,669,0.133819954,1.75,47.54794521,0.068089338,0.207049435,52.1814973,7,4.273972603,4,3.553003607,40.8176018,239.5226121,737.2465753,0.170412311,46.05180354,188.1353634,447.5068493,9.717466307,0.08988764,0.110687193,2.333333333,23.91780822,0.121558794,0.143799963,18.45071754,7,2.794520548,3,2.242846963,12.94595609,51.64327266,289.2328767,0.250680397,67.47894797,58.5860458,168.4794521,2.49677058,0.116838488
"Ea002AC019665","Mo18W","mixed","LT1b",50,696,0.189740563,1.6,37.31506849,0.126384702,0.492538014,34.86208603,8,4.917808219,5,4.406034342,48.66785513,205.8344905,647.369863,0.236441692,18.48517506,259.6247107,435.5479452,23.56201355,0.131791483,0.112175979,3,21.79452055,0.304964018,0.15867356,22.33700344,3,5.109589041,1,6.811982322,7.924000751,111.6732032,172.4794521,0.070957047,78.00627442,31.37425469,89.02739726,1.141285082,0.234443746
"Ea002AC019666","Mo18W","mixed","LT1b",50,884,0.142688339,1.571428571,36.91780822,0.171906667,0.307202207,35.85168501,11,7.534246575,7,6.163143659,49.40889473,225.4437043,915.2739726,0.219162894,31.94631016,244.4169389,545.2465753,17.06759161,0.204081633,0.105371867,2.5,23.80821918,0.104370012,0.125469789,21.79116735,5,3.01369863,2,2.274344402,8.63951961,74.42869206,198.2876712,0.116077811,82.74245113,35.30742838,106.6575342,1.289030392,0.126582279
"Ea002AC019667","Mo18W","mixed","LT1b",50,942,0.163836836,1.636363636,34.97260274,0.322308763,0.290299378,26.87697627,18,8.876712329,11,8.662684986,89.68305498,265.7807281,1314.575342,0.337432498,27.53676141,467.8630672,908.9863014,33.00992037,0.253819036,0.110526171,2,19.78082192,0.134351071,0.183180184,20.30666008,4,1.287671233,2,2.728221526,6.721336086,56.26121223,145.8082192,0.119466606,71.8378576,28.17305027,81.1369863,1.129446075,0.065096953
"Ea002AC019668","Mo18W","mixed","LT1b",50,1069,0.164264141,1.5,41.93150685,0.13497978,0.351714766,37.31220358,9,7.342465753,6,5.036393034,53.24544943,254.2497654,809.4109589,0.209421823,26.3840147,267.2013207,517.7808219,19.62479281,0.175106175,0.096683901,3,17.53424658,0.112953621,0.299373695,23.1712915,3,2.205479452,1,2.617281274,3.527866391,46.37915181,88.57534247,0.076065781,117.9699817,12.94853884,42.63013699,0.361364276,0.12578125
"Ea002AD019669","Mo18W","mixed","LT1b",25,55,0.145657225,1.333333333,30.65753425,0.11738821,0.401195239,33.82728024,8,5.315068493,6,3.970923891,36.96003002,150.5803153,627.9315068,0.245450609,36.57840128,177.78532,388.5205479,10.62158362,0.17336908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea002AD019670","Mo18W","mixed","LT1b",25,131,0.133906824,1.5,25.30136986,0.208516729,0.377657628,28.79163697,12,8.452054795,8,6.003537955,40.13942578,178.2120473,780.1369863,0.225234076,37.1826017,195.2938091,464.2328767,12.4852177,0.334055225,0.092586938,2,23.24657534,0.195686719,0.308717949,26.96401422,2,2.04109589,1,5.276499472,4.219178082,85.22180522,112.5479452,0.049508199,125.6936607,15.2527679,52.43835616,0.417191733,0.087802004
"Ea002AD019671","Mo18W","mixed","LT1b",25,282,0.137798865,1.6,37.54794521,0.129966407,0.554674525,39.40524904,8,7.301369863,5,5.121358626,37.65134172,197.5003753,677.6575342,0.190639343,41.17518323,172.0838555,397.5068493,9.654039597,0.194454579,0.107592012,2,19.76712329,0.151822437,0.347067378,23.66463954,2,2.479452055,1,3.592823254,3.631825859,54.68070933,82.67123288,0.066418777,97.57620068,12.86291153,38.05479452,0.390000782,0.125433125
"Ea002AD019672","Mo18W","mixed","LT1b",25,378,0.157912368,1.6,43.09589041,0.10710595,0.464092321,38.07732935,8,6.095890411,5,4.078308517,45.64496153,206.4752299,713.9178082,0.221067494,28.2871735,224.1675852,451.8630137,15.97413095,0.14144946,0.098182429,3,21.15068493,0.078578817,0.226837061,21.46604815,3,1.698630137,1,1.686776662,4.310564834,34.38731469,104.8630137,0.125353342,108.6792324,16.22527279,52.60273973,0.484018322,0.080310881
"Ea002AD019673","Mo18W","mixed","LT1b",25,499,0.13650165,1.6,37.7260274,0.125980844,0.24305706,40.29448446,8,9.575342466,5,5.076333163,36.8136611,268.7846688,658.0547945,0.136963396,41.05845012,168.5018318,392.9315068,9.570052101,0.253812636,0.115400082,1,17.94520548,0.184459486,0.636205396,21.37450224,1,0.780821918,1,3.942729692,2.681741415,42.84809533,57.01369863,0.062587179,92.06368431,9.336647868,25.75342466,0.279734891,0.04351145
"Ea003AA019684","P39","sweet","LT1b",100,675,0.275945212,1.5,42.38356164,0.135684161,0.329269578,43.68182906,12,8.082191781,8,5.926932329,136.9943704,323.0223306,1214.986301,0.424101858,6.982591906,898.6148865,1036.575342,148.4513711,0.190691661,0.095157875,2.5,10.64383562,0.337278259,0.5,9.103834072,5,2.917808219,2,3.070525304,3.615875399,26.35531995,94.50684932,0.137197173,112.9321734,13.52634063,45.24657534,0.400652657,0.274131274
"Ea003AA019685","P39","sweet","LT1b",100,737,0.206492948,2.166666667,34.30136986,0.236654119,0.113776786,29.68692712,13,9.260273973,6,7.025533568,85.96397073,202.6114656,936.2876712,0.424279892,16.26368129,478.9751083,738.3424658,45.39823749,0.269968051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea003AA019686","P39","sweet","LT1b",100,799,0.396979762,2.666666667,47.91780822,0.087257998,0.508199907,53.61638536,8,5.808219178,3,4.678458458,89.76505911,262.947645,687.1369863,0.34137997,2.681673352,662.7826573,531.4383562,198.1741571,0.121212121,0.091587729,2,24.4109589,0.114413173,0.193897816,22.86964772,4,1.315068493,2,2.616588967,6.489585288,67.56145618,173.1917808,0.09605455,119.0323057,26.05348132,90.54794521,0.760700591,0.053872054
"Ea003AA019687","P39","sweet","LT1b",100,931,0.264989792,1.363636364,39.63013699,0.188430359,0.2778235,36.9946398,15,8.493150685,11,6.97091326,137.3420904,288.0453181,1433.753425,0.476807231,5.517498513,920.7339208,1106,200.4531578,0.214310404,0.146958724,1,11.39726027,0.219292928,0.520833333,12.66417453,1,0.178082192,1,2.777163915,1.963220116,15.52298743,32.75342466,0.126471797,57.1953612,6.925266703,15,0.262259031,0.015625
"Ea003AA019688","P39","sweet","LT1b",100,1048,0.207425273,1.6,49.1369863,0.149179333,0.400388119,49.06579315,8,10.84931507,5,7.319602276,74.60930756,467.6678551,839.4657534,0.159534821,15.78139873,399.387409,612.890411,38.83625408,0.220797324,0.116303507,3,25.83561644,0.115940106,0.119587166,23.03440677,6,3.739726027,2,2.670611561,11.30287108,72.98161006,237.1232877,0.154872866,64.87823788,49.95171028,136.7123288,2.107213963,0.144750795
"Ea003AB019689","P39","sweet","LT1b",75,20,0.143082782,2.2,46.23287671,0.106680352,0.18969555,42.38952351,11,6.506849315,5,4.522129282,59.99286921,244.1892475,1022.534247,0.245681863,36.70908447,290.837714,647.0136986,17.62543817,0.140740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea003AB019690","P39","sweet","LT1b",75,128,0.201021973,1.545454545,33.31506849,0.283531429,0.219720678,29.00275693,17,10.47945205,11,8.223193116,110.0958904,256.7807281,1406.287671,0.428754491,13.63592861,677.7172924,1073.136986,78.69922299,0.314555921,0.086152069,2,17.05479452,0.370349738,0.065047609,15.89737028,8,5.356164384,4,5.88758692,9.768999812,75.75558266,280.1506849,0.12895419,140.7480408,36.90173023,136.3424658,0.968698854,0.314056225
"Ea003AB019691","P39","sweet","LT1b",75,303,0.20264973,1.75,38.64383562,0.105252394,0.526635135,36.40597922,7,3.917808219,4,3.83181646,49.95552637,178.1023644,598.1917808,0.280487721,16.00493698,278.6751692,437.7260274,27.34943774,0.101382489,0.105085135,1.5,27.84931507,0.116942242,0.119897538,25.3915249,6,3.109589041,4,2.969341842,14.57984612,102.3718334,337.8767123,0.142420485,85.51562544,61.29199212,185.6575342,2.171036384,0.111657649
"Ea003AB019692","P39","sweet","LT1b",75,454,0.158823504,1.428571429,46.16438356,0.097449142,0.28692958,44.59963432,10,8.630136986,7,4.346196078,66.35541377,298.8048414,1008.383562,0.222069406,28.18620936,335.0132091,671.4246575,23.82103421,0.18694362,0.12359339,1.8,27.83561644,0.126827463,0.176754474,24.02534595,9,3.821917808,5,3.047073679,26.2811034,83.19722274,514.7808219,0.315889191,54.40137579,124.5049352,320.6575342,5.894290899,0.13730315
"Ea003AB019693","P39","sweet","LT1b",75,491,0.139482841,2.125,48.01369863,0.171688553,0.139605123,41.03900481,17,10.04109589,8,7.04592733,98.61512479,387.6749859,1720.547945,0.254375775,36.7403462,489.2213548,1116.438356,30.38725738,0.209129815,0.097154245,3,30.84931507,0.169194156,0.097229095,25.07116269,6,4.219178082,2,4.241894205,13.79545881,124.1515294,347.8767123,0.111117913,101.7805339,55.62930981,182.260274,1.790718392,0.136767318
"Ea003AC019704","P39","sweet","LT1b",50,574,0.173616581,1.6,40.63013699,0.139779971,0.263081933,37.98376101,8,6,5,5.309369001,46.98404954,211.2958341,741.5479452,0.222361457,16.77898159,255.0158803,467.5479452,27.86509673,0.147673635,0.115142586,3,32.50684932,0.143718006,0.228264891,30.66171241,3,2.479452055,1,4.406640168,8.288797148,143.558829,173.4383562,0.057737982,70.9000988,32.89770929,90.94520548,1.282723255,0.076274758
"Ea003AC019705","P39","sweet","LT1b",50,739,0.14073638,1.5,32.98630137,0.129672741,0.30781463,32.20253656,12,5.452054795,8,4.175791169,55.82360668,149.9419216,982.4657534,0.372301529,35.75215304,278.9456575,630.9041096,17.64660464,0.165282392,0.094428867,2,20.20547945,0.121060719,0.494444444,20.84186624,4,2.876712329,2,2.523131305,6.031900919,62.91077125,156.5616438,0.095880257,113.603741,22.95637785,77.38356164,0.681170893,0.142372881
"Ea003AC019706","P39","sweet","LT1b",50,853,0.135586944,1.428571429,34.63013699,0.11125145,0.483787289,34.12440965,10,5.410958904,7,3.796390042,45.21110903,131.9364796,803.0136986,0.342673301,42.86590302,213.6096598,501.4794521,11.69879594,0.15625,0.101443639,2,14.83561644,0.203100664,0.339647289,16.42375356,2,1.438356164,1,3.335675245,2.494464252,32.07196472,59.83561644,0.077777095,112.5905921,8.949642616,28.08219178,0.249418635,0.096952909
"Ea003AC019707","P39","sweet","LT1b",50,1020,0.127406095,1.5,36.65753425,0.087564518,0.310429548,35.53062579,9,3.602739726,6,3.111222128,38.37474198,121.935729,718.4109589,0.31471286,49.0433463,175.406238,438.2328767,8.93562348,0.098281016,0.088349816,3,16.35616438,0.328084985,0.145908389,14.47236236,3,2.698630137,1,4.748164787,4.406267592,58.47813849,122.0410959,0.075348972,133.149049,16.91209616,60.93150685,0.457618791,0.164991625
"Ea003AC019708","P39","sweet","LT1b",50,1071,0.201838751,1.5,26.46575342,0.157732923,0.292632085,24.93670015,6,5.589041096,4,3.933338614,26.89547758,160.0910114,339.2191781,0.168001172,15.17103069,139.9613003,220.7260274,14.5491781,0.211180124,0.133331641,3,19.1369863,0.120738439,0.276595745,20.59028697,3,1.753424658,1,2.486039112,6.349408895,45.4299118,112.5753425,0.139762739,53.01296098,25.82098176,61.64383562,1.162806877,0.091624911
"Ea003AD019709","P39","sweet","LT1b",25,78,0.121549298,2,26.76712329,0.196186144,0.18146865,24.70784989,12,4.945205479,6,4.847337804,32.79583412,116.4164008,633.7534247,0.281711459,60.46088271,146.2726838,383.0547945,6.335580583,0.184749232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea003AD019710","P39","sweet","LT1b",25,199,0.123716285,1.714285714,32.53424658,0.150698866,0.334166191,30.85639266,12,5.205479452,7,4.650023386,43.8136611,138.5197035,828.1506849,0.316299126,57.75082867,199.0077281,512.0273973,8.866148055,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea003AD019711","P39","sweet","LT1b",25,313,0.152997463,1.6,24.17808219,0.163207935,0.418096515,28.59525247,8,7.054794521,5,4.666972117,28.26890599,146.0531056,455.8082192,0.193552242,31.02926597,139.311143,289.8356164,9.340717784,0.291784703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea003AD019712","P39","sweet","LT1b",25,376,0.179167092,1.666666667,30.31506849,0.147421749,0.374572556,28.20552978,5,6.616438356,3,4.158108538,23.89528992,169.8096266,338.6438356,0.140718111,21.77095214,120.8782642,214.7534247,9.864218305,0.218255761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
