"plantbarcode","genotype","Subpop.","Exp","treatment","image_id","Average.Root.Width..Diameter.","Network.Bushiness","Network.Depth","Ellipse.Axes.Ratio","Network.Length.Distribution","Major.Ellipse.Axis","Maximum.Number.of.Roots","Network.Width","Median.Number.of.Roots","Minor.Ellipse.Axis","Network.Area","Network.Convex.Area","Network.Perimeter","Network.Solidity","Specific.Root.Length","Network.Surface.Area","Network.Length","Network.Volume","Network.Width.to.Depth.Ratio","Average.Root.Width..Diameter._Excised","Network.Bushiness_Excised","Network.Depth_Excised","Ellipse.Axes.Ratio_Excised","Network.Length.Distribution_Excised","Major.Ellipse.Axis_Excised","Maximum.Number.of.Roots_Excised","Network.Width_Excised","Median.Number.of.Roots_Excised","Minor.Ellipse.Axis_Excised","Network.Area_Excised","Network.Convex.Area_Excised","Network.Perimeter_Excised","Network.Solidity_Excised","Specific.Root.Length_Excised","Network.Surface.Area_Excised","Network.Length_Excised","Network.Volume_Excised","Network.Width.to.Depth.Ratio_Excised"
"Ea011AB020013","TZI18","ts","LT1b",75,552,0.165985273,1.6,46.5890411,0.081066132,0.418987342,52.49526506,8,5.04109589,5,4.255588086,56.27284669,284.7809157,841.7123288,0.197600484,25.11012968,288.2734753,552.8219178,22.01589258,0.10820347,0.121649481,2,16.57534247,0.432188406,0.847813062,19.95628023,2,4.315068493,1,8.624872948,4.49202477,80.48733346,89.30136986,0.055810332,75.43341189,16.14550529,42.24657534,0.560051233,0.260330579
"Ea011AC020024","TZI18","ts","LT1b",50,584,0.164962415,1.333333333,33.71232877,0.160640565,0.361836272,34.57633819,8,7.904109589,6,5.554362518,39.89585288,198.9439857,628.0410959,0.20053812,23.44468809,196.2798603,378.739726,16.15460715,0.234457538,0.106913527,2,24.36986301,0.309470738,0.237188087,27.82609058,2,7.493150685,1,8.611360784,5.557703134,130.8656408,127.1780822,0.042468773,91.93191119,21.21097317,63.15068493,0.686928882,0.30747611
"Ea011AC020025","TZI18","ts","LT1b",50,769,0.262381212,1.666666667,27.84931507,0.181532399,0.391545928,24.13125412,5,5.369863014,3,4.380604453,35.10245825,135.2876712,370.739726,0.259465315,7.907763307,223.406498,271.0273973,34.27358492,0.192818495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea011AC020026","TZI18","ts","LT1b",50,893,0.096867611,2,14.52054795,0.207612784,0.440966502,17.58264905,2,1.164383562,1,3.65038272,2.85775943,34.61568775,73.61643836,0.082556772,96.32368929,10.93879371,35.94520548,0.37317098,0.080188679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea011AD020029","TZI18","ts","LT1b",25,26,0.148417693,1.5,33.32876712,0.097469944,0.22351901,30.98051487,6,4.04109589,4,3.019669059,28.69825483,124.9334772,459.9315068,0.229708285,37.91382187,132.4839654,284.1369863,7.494284995,0.121249486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea011AD020030","TZI18","ts","LT1b",25,211,0.113494545,1.5,19.57534247,0.309867967,0.366311399,22.58693639,3,6.397260274,2,6.998968051,7.357290298,92.63051229,156.5068493,0.079426208,75.39589471,28.80269513,80.78082192,1.071422021,0.326801959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea011AD020031","TZI18","ts","LT1b",25,229,0.149673155,1.666666667,30.1369863,0.185275102,0.492997062,35.08695288,10,7.876712329,6,6.500738769,41.20960781,249.9523363,678.8630137,0.164869865,34.7116052,196.3747372,417.630137,12.0314268,0.261363636,0.088205701,2,11.23287671,0.321379336,0.402629931,14.22607545,2,3.506849315,1,4.571966679,2.389566523,37.93413398,65.61643836,0.062992516,143.1292568,8.502990332,30.68493151,0.214386158,0.312195122
"Ea011AD020032","TZI18","ts","LT1b",25,446,0.150093155,2,40.09589041,0.087723641,0.645530493,45.93230001,6,8.109589041,3,4.029348609,27.56933759,214.0914806,454.8082192,0.128773632,31.33501912,127.2295476,269.8219178,8.610874522,0.202254869,0.093757412,2,16.50684932,0.176943589,0.273689052,17.10548417,2,1.328767123,1,3.02670576,2.990242072,40.83242635,78,0.073232045,120.188869,11.17263416,37.93150685,0.315599166,0.080497925
"Ea011AD020033","TZI18","ts","LT1b",25,494,0.125403076,1.8,32.49315068,0.169358392,0.283944374,34.54749564,9,8.082191781,5,5.850908304,30.6580972,207.8194783,591.0684932,0.147522732,52.88454626,137.0243977,347.8082192,6.576745832,0.248735245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea012AA020044","CML228","ts","LT1b",100,661,0.25331401,1.428571429,39.93150685,0.146850189,0.210315997,40.19512689,10,11.15068493,7,5.902661994,104.9517733,363.5786264,1004.013699,0.28866321,9.921569368,643.8534369,809.0547945,81.54504237,0.279245283,0.138375682,2,27.26027397,0.18614615,0.056742861,19.54123118,8,3.753424658,4,3.637524957,21.57158942,81.83580409,376.6849315,0.263595985,42.96878642,101.5875196,233.6849315,5.43848107,0.137688442
